".id","id","citation_id","site_id","treatment_id","name","date","time","cultivar_id","specie_id","mean","statname","stat","n","vname","month","lon","lat","control","greenhouse","mean_unconverted","stat_unconverted"
"SLA",24727,101,126,13,"plant date/density/irrigation/layer",2002-06-15 00:00:00,"00:00:00",123,2862,23.287,NA,NA,NA,"SLA",6,4.37,51.08,FALSE,FALSE,23.287,NA
"SLA",24697,101,126,11,"Observational",2001-08-15 00:00:00,"00:00:00",152,2068,18.34,NA,NA,NA,"SLA",8,4.37,51.08,TRUE,FALSE,18.34,NA
"SLA",24686,67,126,445,"Observational",2001-06-15 00:00:00,"00:00:00",111,2860,16.6,"SE",0.13,3,"SLA",6,4.37,51.08,TRUE,FALSE,16.6,0.13
"SLA",24710,101,126,12,"plant date/density/irrigation/layer",2002-06-15 00:00:00,"00:00:00",113,2955,12.58,NA,NA,NA,"SLA",6,4.37,51.08,FALSE,FALSE,12.58,NA
"SLA",24711,101,126,12,"plant date/density/irrigation/layer",2002-06-15 00:00:00,"00:00:00",114,2955,9.021,NA,NA,NA,"SLA",6,4.37,51.08,FALSE,FALSE,9.021,NA
"SLA",38502,414,624,1310,"ambient CO2 low temp",1998-01-01 00:00:00,"00:00:00",NA,1080,31.3,"SE",2.7,NA,"SLA",1,-93.18,44.98,TRUE,TRUE,31.3,2.7
"SLA",38503,414,624,1312,"ambient CO2 medium temp",1998-01-01 00:00:00,"00:00:00",NA,1080,34.6,"SE",2.1,NA,"SLA",1,-93.18,44.98,FALSE,TRUE,34.6,2.1
"SLA",38504,414,624,1314,"ambient CO2 high temp",1998-01-01 00:00:00,"00:00:00",NA,1080,37.5,"SE",0.9,NA,"SLA",1,-93.18,44.98,FALSE,TRUE,37.5,0.9
"SLA",38505,414,624,1311,"elevated CO2 low temp",1998-01-01 00:00:00,"00:00:00",NA,1080,31.3,"SE",6.9,NA,"SLA",1,-93.18,44.98,FALSE,TRUE,31.3,6.9
"SLA",38506,414,624,1313,"elevated CO2 medium temp",1998-01-01 00:00:00,"00:00:00",NA,1080,27.2,"SE",0.4,NA,"SLA",1,-93.18,44.98,FALSE,TRUE,27.2,0.4
"SLA",38507,414,624,1315,"elevated CO2 high temp",1998-01-01 00:00:00,"00:00:00",NA,1080,29.2,"SE",1.8,NA,"SLA",1,-93.18,44.98,FALSE,TRUE,29.2,1.8
"SLA",38670,415,630,1316,"Observational",NA,"00:00:00",NA,1072,10.9,NA,NA,NA,"SLA",NA,-89.4293,43.0399,TRUE,FALSE,10.9,NA
"SLA",38671,415,630,1316,"Observational",NA,"00:00:00",NA,1080,12.1,NA,NA,NA,"SLA",NA,-89.4293,43.0399,TRUE,FALSE,12.1,NA
"SLA",40571,470,624,1459,"Light",1994-06-29 05:00:00,"00:00:00",NA,1080,66.2,"SE",7.1,3,"SLA",6,-93.18,44.98,FALSE,TRUE,66.2,7.1
"SLA",24670,63,391,141,NA,2004-06-15 00:00:00,"00:00:00",92,2860,17.1,NA,NA,4,"SLA",6,-92.77,39.02,NA,NA,17.1,NA
"SLA",24671,63,391,141,NA,2004-06-15 00:00:00,"00:00:00",93,2860,16.67,NA,NA,4,"SLA",6,-92.77,39.02,NA,NA,16.67,NA
"SLA",24672,63,391,141,NA,2004-06-15 00:00:00,"00:00:00",94,1072,15.61,NA,NA,4,"SLA",6,-92.77,39.02,NA,NA,15.61,NA
"SLA",24673,63,391,141,NA,2004-06-15 00:00:00,"00:00:00",95,1072,18.18,NA,NA,4,"SLA",6,-92.77,39.02,NA,NA,18.18,NA
"SLA",24674,63,391,141,NA,2004-06-15 00:00:00,"00:00:00",96,1072,16.85,NA,NA,4,"SLA",6,-92.77,39.02,NA,NA,16.85,NA
"SLA",29203,160,NA,NA,NA,NA,"00:00:00",NA,2864,9.9009900990099,NA,NA,NA,"LMA",NA,NA,NA,NA,NA,0.101,NA
"SLA",30296,160,NA,NA,NA,NA,"00:00:00",NA,2864,25,NA,NA,NA,"LMA",NA,NA,NA,NA,NA,0.04,NA
"SLA",28919,160,NA,NA,NA,NA,"00:00:00",NA,2864,7.93650793650794,NA,NA,NA,"LMA",NA,NA,NA,NA,NA,0.126,NA
"SLA",29525,160,NA,NA,NA,NA,"00:00:00",NA,1080,12.30012300123,NA,NA,NA,"LMA",NA,NA,NA,NA,NA,0.0813,NA
"SLA",38949,426,641,1337,"High light low nutrients",2003-01-01 00:00:00,"00:00:00",NA,1076,33.0553145770239,"SE",1.31468439119094,3,"LMA",1,-79.394532,43.663349,TRUE,TRUE,0.0303,0.0012
"SLA",38950,426,641,1335,"High light high nutrients",2003-01-01 00:00:00,"00:00:00",NA,1076,44.1075415450854,"SE",3.34361361661514,3,"LMA",1,-79.394532,43.663349,TRUE,TRUE,0.0228,0.0017
"SLA",28984,160,NA,NA,NA,NA,"00:00:00",NA,2809,8.38222967309304,NA,NA,NA,"LMA",NA,NA,NA,NA,NA,0.1193,NA
"SLA",29178,160,NA,NA,NA,NA,"00:00:00",NA,1072,9.73709834469328,NA,NA,NA,"LMA",NA,NA,NA,NA,NA,0.1027,NA
"SLA",29181,160,NA,NA,NA,NA,"00:00:00",NA,1078,9.75609756097561,NA,NA,NA,"LMA",NA,NA,NA,NA,NA,0.1025,NA
"SLA",29191,160,NA,NA,NA,NA,"00:00:00",NA,39636,9.80392156862745,NA,NA,NA,"LMA",NA,NA,NA,NA,NA,0.102,NA
"SLA",29279,160,NA,NA,NA,NA,"00:00:00",NA,1070,10.4166666666667,NA,NA,NA,"LMA",NA,NA,NA,NA,NA,0.096,NA
"SLA",29343,160,NA,NA,NA,NA,"00:00:00",NA,1069,10.8695652173913,NA,NA,NA,"LMA",NA,NA,NA,NA,NA,0.092,NA
"SLA",29353,160,NA,NA,NA,NA,"00:00:00",NA,1080,10.9409190371991,NA,NA,NA,"LMA",NA,NA,NA,NA,NA,0.0914,NA
"SLA",29358,160,NA,NA,NA,NA,"00:00:00",NA,1072,11.001100110011,NA,NA,NA,"LMA",NA,NA,NA,NA,NA,0.0909,NA
"SLA",29420,160,NA,NA,NA,NA,"00:00:00",NA,39636,11.5340253748558,NA,NA,NA,"LMA",NA,NA,NA,NA,NA,0.0867,NA
"SLA",29441,160,NA,NA,NA,NA,"00:00:00",NA,1069,11.7233294255569,NA,NA,NA,"LMA",NA,NA,NA,NA,NA,0.0853,NA
"SLA",29496,160,NA,NA,NA,NA,"00:00:00",NA,1080,12.1065375302663,NA,NA,NA,"LMA",NA,NA,NA,NA,NA,0.0826,NA
"SLA",29580,160,NA,NA,NA,NA,"00:00:00",NA,1080,12.7064803049555,NA,NA,NA,"LMA",NA,NA,NA,NA,NA,0.0787,NA
"SLA",29589,160,NA,NA,NA,NA,"00:00:00",NA,1076,12.8205128205128,NA,NA,NA,"LMA",NA,NA,NA,NA,NA,0.078,NA
"SLA",29612,160,NA,NA,NA,NA,"00:00:00",NA,39636,13.0039011703511,NA,NA,NA,"LMA",NA,NA,NA,NA,NA,0.0769,NA
"SLA",29634,160,NA,NA,NA,NA,"00:00:00",NA,1080,13.1578947368421,NA,NA,NA,"LMA",NA,NA,NA,NA,NA,0.076,NA
"SLA",29720,160,NA,NA,NA,NA,"00:00:00",NA,1070,14.1043723554302,NA,NA,NA,"LMA",NA,NA,NA,NA,NA,0.0709,NA
"SLA",29721,160,NA,NA,NA,NA,"00:00:00",NA,1072,14.1043723554302,NA,NA,NA,"LMA",NA,NA,NA,NA,NA,0.0709,NA
"SLA",29743,160,NA,NA,NA,NA,"00:00:00",NA,1077,14.3472022955524,NA,NA,NA,"LMA",NA,NA,NA,NA,NA,0.0697,NA
"SLA",29889,160,NA,NA,NA,NA,"00:00:00",NA,1076,15.8982511923688,NA,NA,NA,"LMA",NA,NA,NA,NA,NA,0.0629,NA
"SLA",44174,563,863,1675,"observational",NA,"00:00:00",NA,2860,14.9287060014314,"SE",0.222872557221372,3,"LMA",NA,175.618511,-40.348268,TRUE,TRUE,0.067,0.001
"SLA",44716,603,796,1779,"observational",NA,"00:00:00",NA,1080,15.2643920978225,NA,0.560439721925181,3,"LMA",NA,-71.288077,44.06464,TRUE,FALSE,0.0656,0.0024
"SLA",29190,160,NA,NA,NA,NA,"00:00:00",NA,2864,9.80392156862745,NA,NA,NA,"LMA",NA,NA,NA,NA,NA,0.102,NA
"c2n_leaf",39568,441,674,1403,"Observational",NA,"00:00:00",NA,1080,22,NA,NA,NA,"c2n_leaf",NA,-147.87,64.82,TRUE,NA,22,NA
"c2n_leaf",39570,441,674,1403,"Observational",NA,"00:00:00",NA,39387,26,NA,NA,NA,"c2n_leaf",NA,-147.87,64.82,TRUE,NA,26,NA
"c2n_leaf",37764,381,602,1220,"observational",2010-06-01 00:00:00,"00:00:00",NA,1072,21.3338,NA,4.5159,9,"c2n_leaf",6,NA,NA,TRUE,NA,21.3338,4.5159
"c2n_leaf",37785,381,602,1220,"observational",2010-08-01 00:00:00,"00:00:00",NA,1072,16.8929,NA,5.7037,9,"c2n_leaf",8,NA,NA,TRUE,NA,16.8929,5.7037
"c2n_leaf",37806,381,602,1220,"observational",2010-09-01 00:00:00,"00:00:00",NA,1072,13.0954,NA,0.7344,9,"c2n_leaf",9,NA,NA,TRUE,NA,13.0954,0.7344
"c2n_leaf",24410,107,453,136,"Unfertilized",2002-10-15 00:00:00,"00:00:00",NA,2864,14.9190369438446,"SE",0.427109222094264,3,"leafN",10,-116.6,53.9,TRUE,NA,3.22,0.092
"c2n_leaf",24411,107,453,137,"Fertilization_N8",2002-10-15 00:00:00,"00:00:00",NA,2864,15.0194517205408,"SE",0.541605247664361,3,"leafN",10,-116.6,53.9,FALSE,NA,3.2,0.115
"c2n_leaf",24412,107,453,138,"Fertilization_N16",2002-10-15 00:00:00,"00:00:00",NA,2864,14.8267945830586,"SE",0.421835725917432,3,"leafN",10,-116.6,53.9,FALSE,NA,3.24,0.092
"c2n_leaf",30562,160,NA,NA,NA,NA,"00:00:00",NA,2864,11.1111111111111,NA,NA,NA,"leafN",NA,NA,NA,NA,NA,4.32,NA
"c2n_leaf",24353,102,445,88,"Observational",1995-06-15 00:00:00,"00:00:00",179,2955,24.6153846153846,NA,NA,NA,"leafN",6,13.22,52.14,TRUE,NA,1.95,NA
"c2n_leaf",24359,102,445,88,"Observational",1996-06-15 00:00:00,"00:00:00",255,2952,33.8028169014085,NA,NA,NA,"leafN",6,13.22,52.14,TRUE,NA,1.42,NA
"c2n_leaf",24360,102,445,88,"Observational",1996-06-15 00:00:00,"00:00:00",256,2952,32,NA,NA,NA,"leafN",6,13.22,52.14,TRUE,NA,1.5,NA
"c2n_leaf",24361,102,445,88,"Observational",1996-06-15 00:00:00,"00:00:00",179,2955,35.8208955223881,NA,NA,NA,"leafN",6,13.22,52.14,TRUE,NA,1.34,NA
"c2n_leaf",24367,102,445,88,"Observational",1997-06-15 00:00:00,"00:00:00",255,2952,27.1186440677966,NA,NA,NA,"leafN",6,13.22,52.14,TRUE,NA,1.77,NA
"c2n_leaf",24368,102,445,88,"Observational",1997-06-15 00:00:00,"00:00:00",257,2952,27.906976744186,NA,NA,NA,"leafN",6,13.22,52.14,TRUE,NA,1.72,NA
"c2n_leaf",24369,102,445,88,"Observational",1997-06-15 00:00:00,"00:00:00",179,2955,31.1688311688312,NA,NA,NA,"leafN",6,13.22,52.14,TRUE,NA,1.54,NA
"c2n_leaf",24375,102,445,88,"Observational",1998-06-15 00:00:00,"00:00:00",255,2952,20.8695652173913,NA,NA,NA,"leafN",6,13.22,52.14,TRUE,NA,2.3,NA
"c2n_leaf",24376,102,445,88,"Observational",1998-06-15 00:00:00,"00:00:00",258,2952,22.0183486238532,NA,NA,NA,"leafN",6,13.22,52.14,TRUE,NA,2.18,NA
"c2n_leaf",24377,102,445,88,"Observational",1999-06-15 00:00:00,"00:00:00",179,2955,23.4146341463415,NA,NA,NA,"leafN",6,13.22,52.14,TRUE,NA,2.05,NA
"c2n_leaf",24383,102,445,88,"Observational",2000-06-15 00:00:00,"00:00:00",255,2952,25.8064516129032,NA,NA,NA,"leafN",6,13.22,52.14,TRUE,NA,1.86,NA
"c2n_leaf",24384,102,445,88,"Observational",2000-06-15 00:00:00,"00:00:00",259,2952,28.7425149700599,NA,NA,NA,"leafN",6,13.22,52.14,TRUE,NA,1.67,NA
"c2n_leaf",24385,102,445,88,"Observational",2000-06-15 00:00:00,"00:00:00",179,2955,24.6153846153846,NA,NA,NA,"leafN",6,13.22,52.14,TRUE,NA,1.95,NA
"c2n_leaf",24391,102,445,88,"Observational",2001-06-15 00:00:00,"00:00:00",255,2952,24.4897959183673,NA,NA,NA,"leafN",6,13.22,52.14,TRUE,NA,1.96,NA
"c2n_leaf",24392,102,445,88,"Observational",2001-06-15 00:00:00,"00:00:00",260,2952,23.6453201970443,NA,NA,NA,"leafN",6,13.22,52.14,TRUE,NA,2.03,NA
"c2n_leaf",24393,102,445,88,"Observational",2001-06-15 00:00:00,"00:00:00",179,2955,23.4146341463415,NA,NA,NA,"leafN",6,13.22,52.14,TRUE,NA,2.05,NA
"c2n_leaf",24399,102,445,88,"Observational",2002-06-15 00:00:00,"00:00:00",255,2952,34.5323741007194,NA,NA,NA,"leafN",6,13.22,52.14,TRUE,NA,1.39,NA
"c2n_leaf",24400,102,445,88,"Observational",2002-06-15 00:00:00,"00:00:00",261,2952,36.6412213740458,NA,NA,NA,"leafN",6,13.22,52.14,TRUE,NA,1.31,NA
"c2n_leaf",24401,104,449,359,"Observational",2005-06-15 00:00:00,"00:00:00",NA,2860,13.9952436618218,"SE",0.122386976239294,4,"leafN",6,1.87,47.77,TRUE,NA,3.43,0.03
"c2n_leaf",24402,104,450,359,"Observational",2005-06-15 00:00:00,"00:00:00",NA,2860,11.8530118053613,"SE",0.11705421320506,4,"leafN",6,7.67,44.7,TRUE,NA,4.05,0.04
"c2n_leaf",24403,104,449,359,"Observational",2005-06-15 00:00:00,"00:00:00",NA,2579,15.64582453233,"SE",0.408356834257203,4,"leafN",6,1.87,47.77,TRUE,NA,3.07,0.08
"c2n_leaf",24404,104,450,359,"Observational",2005-06-15 00:00:00,"00:00:00",NA,2579,15.419607125605,"SE",1.15140152287418,4,"leafN",6,7.67,44.7,TRUE,NA,3.13,0.23
"c2n_leaf",24405,104,449,359,"Observational",2005-06-15 00:00:00,"00:00:00",NA,2866,16.43863613284,"SE",0.0675337715844496,4,"leafN",6,1.87,47.77,TRUE,NA,2.92,0.012
"c2n_leaf",24406,104,450,359,"Observational",2005-06-15 00:00:00,"00:00:00",NA,2866,13.9553804044193,"SE",0.162271819003914,4,"leafN",6,7.67,44.7,TRUE,NA,3.44,0.04
"c2n_leaf",24407,104,449,359,"Observational",2005-06-15 00:00:00,"00:00:00",NA,1072,15.005931376681,"SE",1.23565263373682,4,"leafN",6,1.87,47.77,TRUE,NA,3.22,0.26
"c2n_leaf",24408,104,449,359,"Observational",2005-06-15 00:00:00,"00:00:00",NA,2955,17.7913432662155,"SE",1.19711499152301,4,"leafN",6,1.87,47.77,TRUE,NA,2.71,0.18
"c2n_leaf",24409,104,450,359,"Observational",2005-06-15 00:00:00,"00:00:00",NA,2955,14.7116725006058,"SE",1.81193511749684,4,"leafN",6,7.67,44.7,TRUE,NA,3.31,0.39
"c2n_leaf",38814,422,637,1326,"Ambient",2002-01-01 00:00:00,"00:00:00",NA,1073,17.3287478877973,"SE",0.0625374204169183,3,"leafN",1,11.85,42.616667,TRUE,TRUE,2.77,0.01
"c2n_leaf",38815,422,637,1327,"Elevated",2002-01-01 00:00:00,"00:00:00",NA,1073,21.42940161455,"SE",1.44739493502242,3,"leafN",1,11.85,42.616667,FALSE,TRUE,2.25,0.15
"c2n_leaf",38820,422,637,1327,"Elevated",2002-01-01 00:00:00,"00:00:00",NA,2579,20.7889787463475,"SE",0.450413755992991,3,"leafN",1,11.85,42.616667,FALSE,TRUE,2.31,0.05
